"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred_train"
"210",6274.123875,"No","Extended","Bachelor","Employed","F",68964,"Rural","Married",78,15,6,0,3,"Personal Auto","Personal L3","Offer3","Web",115.086827,"Four-Door Car","Medsize",5767.94215321007
"211",3886.647414,"No","Extended","High School or Below","Employed","M",78108,"Suburban","Single",98,12,34,0,1,"Personal Auto","Personal L3","Offer2","Agent",470.4,"Two-Door Car","Small",5760.90156441034
"212",4386.277558,"Yes","Basic","College","Retired","M",10621,"Suburban","Single",67,28,22,0,5,"Special Auto","Special L3","Offer1","Agent",321.6,"Four-Door Car","Medsize",5920.06668029766
"213",11365.26766,"No","Extended","College","Employed","M",84910,"Urban","Married",95,4,69,0,2,"Corporate Auto","Corporate L3","Offer2","Web",383.167471,"Two-Door Car","Small",5950.50062841781
"214",5610.96434,"No","Basic","High School or Below","Employed","F",77493,"Urban","Single",70,2,35,0,3,"Special Auto","Special L3","Offer1","Agent",307.963291,"Four-Door Car","Medsize",5404.62439172631
"215",2912.892035,"No","Basic","College","Employed","M",81097,"Suburban","Divorced",74,7,67,0,1,"Personal Auto","Personal L1","Offer4","Agent",355.2,"Four-Door Car","Small",4934.59682334043
"217",6262.663307,"No","Premium","College","Employed","M",30110,"Urban","Married",159,20,71,0,1,"Corporate Auto","Corporate L3","Offer4","Agent",466.436375,"Sports Car","Small",8794.84803910539
"218",6503.397049,"Yes","Extended","High School or Below","Disabled","F",22081,"Suburban","Married",84,1,9,0,6,"Special Auto","Special L3","Offer1","Agent",451.670309,"Two-Door Car","Small",7017.96014801453
"219",8007.399376,"Yes","Basic","High School or Below","Unemployed","F",0,"Suburban","Divorced",112,12,93,0,3,"Personal Auto","Personal L3","Offer1","Web",537.6,"Sports Car","Medsize",7312.04263951605
"221",5969.55297,"No","Basic","Bachelor","Employed","F",97431,"Suburban","Married",74,1,72,0,3,"Personal Auto","Personal L2","Offer3","Branch",355.2,"Four-Door Car","Medsize",5586.28327246819
"222",5473.15987,"No","Basic","Bachelor","Employed","M",93870,"Suburban","Divorced",69,1,96,0,8,"Personal Auto","Personal L2","Offer1","Call Center",331.2,"Four-Door Car","Medsize",6988.42579436024
"223",5645.396665,"No","Basic","High School or Below","Employed","M",50366,"Suburban","Divorced",72,9,5,0,9,"Personal Auto","Personal L1","Offer1","Call Center",428.734656,"Four-Door Car","Small",7450.51317948053
"224",6369.262355,"Yes","Extended","High School or Below","Employed","M",34498,"Suburban","Single",83,30,72,0,7,"Personal Auto","Personal L3","Offer2","Branch",398.4,"Two-Door Car","Small",7034.74010901157
"225",11833.76732,"No","Basic","College","Disabled","F",16552,"Suburban","Married",103,23,53,0,2,"Personal Auto","Personal L3","Offer2","Call Center",494.4,"SUV","Small",6929.95423125842
"226",6121.107929,"No","Extended","College","Employed","F",26787,"Suburban","Married",77,7,50,0,5,"Personal Auto","Personal L3","Offer3","Branch",369.6,"Four-Door Car","Medsize",6374.21388215236
"227",5159.369746,"No","Basic","College","Unemployed","M",0,"Suburban","Single",74,2,42,0,9,"Personal Auto","Personal L1","Offer1","Branch",831.752839,"Two-Door Car","Medsize",7541.34261985147
"228",2514.59196,"Yes","Basic","High School or Below","Employed","F",43860,"Rural","Single",65,15,58,0,1,"Corporate Auto","Corporate L3","Offer2","Agent",156.124914,"Four-Door Car","Medsize",4262.21579828983
"229",8668.611261,"No","Basic","High School or Below","Employed","M",21474,"Urban","Married",114,13,72,2,9,"Corporate Auto","Corporate L3","Offer1","Agent",373.428187,"SUV","Small",9672.968311987
"231",5504.139033,"Yes","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",73,18,45,0,5,"Corporate Auto","Corporate L1","Offer1","Call Center",350.4,"Four-Door Car","Medsize",6192.55500141048
"232",7507.455372,"Yes","Basic","College","Employed","M",60920,"Urban","Single",64,10,61,0,2,"Personal Auto","Personal L3","Offer2","Agent",231.201886,"Two-Door Car","Medsize",4542.64430266824
"236",5912.783829,"No","Basic","Bachelor","Employed","M",72208,"Suburban","Married",73,3,84,0,8,"Personal Auto","Personal L3","Offer1","Branch",350.4,"Two-Door Car","Small",7170.08467510212
"239",2050.623512,"No","Basic","College","Unemployed","M",0,"Suburban","Single",61,18,26,0,1,"Personal Auto","Personal L3","Offer2","Agent",292.8,"Four-Door Car","Small",4080.55691754795
"240",2465.444865,"No","Basic","Bachelor","Employed","F",64997,"Suburban","Single",63,7,99,1,1,"Personal Auto","Personal L3","Offer2","Agent",383.442328,"Four-Door Car","Small",4020.83687959883
"241",5343.121327,"No","Basic","High School or Below","Employed","F",64460,"Suburban","Married",66,18,42,0,3,"Corporate Auto","Corporate L3","Offer2","Agent",316.8,"Two-Door Car","Small",4959.31696760306
"242",8119.829071,"No","Basic","College","Employed","F",46618,"Rural","Married",67,22,77,0,2,"Personal Auto","Personal L1","Offer3","Agent",99.085943,"Four-Door Car","Large",4942.53700660602
"243",4605.265164,"No","Basic","College","Unemployed","F",0,"Suburban","Divorced",64,13,64,0,4,"Corporate Auto","Corporate L3","Offer1","Branch",307.2,"Four-Door Car","Small",5457.97929517737
"246",3211.070017,"No","Extended","Bachelor","Disabled","M",16269,"Suburban","Divorced",86,6,84,0,1,"Corporate Auto","Corporate L2","Offer3","Agent",412.8,"Two-Door Car","Medsize",5479.57346556607
"247",5094.522262,"No","Basic","Bachelor","Employed","F",72006,"Suburban","Divorced",64,4,38,0,3,"Personal Auto","Personal L1","Offer4","Agent",307.2,"Four-Door Car","Medsize",5132.13607061349
"249",8672.229719,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",245,34,83,0,1,"Corporate Auto","Corporate L3","Offer1","Branch",2345.413441,"Luxury SUV","Medsize",12700.5139750558
"250",8044.73072,"No","Basic","Master","Employed","M",44320,"Suburban","Married",67,13,79,0,2,"Personal Auto","Personal L2","Offer1","Call Center",321.6,"Four-Door Car","Medsize",4942.53700660602
"251",4001.519098,"No","Premium","High School or Below","Retired","F",19782,"Suburban","Divorced",108,13,66,0,1,"Personal Auto","Personal L3","Offer3","Web",773.470977,"Two-Door Car","Medsize",6478.69730964641
"252",16706.11699,"No","Basic","Bachelor","Employed","F",63933,"Suburban","Divorced",70,35,98,0,2,"Personal Auto","Personal L3","Offer1","Call Center",424.883448,"Two-Door Car","Medsize",5078.78116716243
"253",8544.411077,"No","Basic","Doctor","Employed","M",28224,"Suburban","Single",109,13,13,0,8,"Personal Auto","Personal L3","Offer1","Call Center",523.2,"SUV","Medsize",9421.15044313589
"255",6112.756868,"No","Extended","Bachelor","Employed","M",63243,"Urban","Married",77,21,73,0,3,"Personal Auto","Personal L3","Offer4","Call Center",364.240307,"Four-Door Car","Large",5722.5274330246
"257",10979.09559,"No","Extended","Bachelor","Employed","F",94827,"Urban","Married",135,5,64,0,4,"Personal Auto","Personal L3","Offer1","Agent",354.729129,"SUV","Medsize",9298.56026970259
"258",5004.263818,"No","Basic","Master","Employed","F",39161,"Urban","Married",63,18,83,1,4,"Personal Auto","Personal L3","Offer2","Call Center",283.995953,"Two-Door Car","Small",4998.36655329047
"259",13223.04379,"No","Extended","Bachelor","Employed","M",37534,"Suburban","Married",84,2,0,2,2,"Personal Auto","Personal L3","Offer3","Branch",403.2,"Four-Door Car","Medsize",5413.48829311889
"260",2623.31543,"No","Basic","Bachelor","Employed","F",80210,"Rural","Divorced",65,30,28,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",20.543176,"Four-Door Car","Medsize",4525.8643416712
"262",5106.111827,"No","Basic","College","Employed","F",30110,"Rural","Married",64,2,4,0,5,"Personal Auto","Personal L1","Offer1","Web",140.165035,"Four-Door Car","Medsize",5783.82251974125
"265",6563.644143,"No","Extended","Bachelor","Employed","M",32375,"Suburban","Married",83,17,83,0,6,"Personal Auto","Personal L1","Offer1","Agent",398.4,"Four-Door Car","Small",6972.54542782906
"270",3595.31286,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",103,20,43,0,1,"Corporate Auto","Corporate L3","Offer2","Call Center",741.6,"Sports Car","Medsize",5987.9751653377
"272",7859.414569,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",113,19,10,0,7,"Personal Auto","Personal L1","Offer1","Branch",813.6,"SUV","Medsize",9276.96609931389
"273",4115.577437,"No","Premium","High School or Below","Employed","M",52405,"Suburban","Married",103,2,27,0,1,"Personal Auto","Personal L3","Offer4","Call Center",494.4,"Four-Door Car","Medsize",6251.62370871906
"274",5029.638777,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Married",133,3,89,0,1,"Personal Auto","Personal L3","Offer1","Agent",795.864079,"Sports Car","Small",7614.06531428317
"275",4821.418454,"No","Extended","Bachelor","Employed","F",26583,"Suburban","Married",128,6,46,4,1,"Personal Auto","Personal L2","Offer2","Agent",614.4,"SUV","Medsize",7137.28109805106
"277",8630.053943,"No","Premium","College","Employed","M",24065,"Suburban","Divorced",111,30,1,0,5,"Corporate Auto","Corporate L2","Offer1","Branch",532.8,"Four-Door Car","Medsize",7918.31436845834
"278",9322.08512,"No","Premium","High School or Below","Employed","F",70435,"Rural","Married",116,0,50,0,4,"Personal Auto","Personal L3","Offer3","Agent",67.881546,"Four-Door Car","Medsize",7819.54474482181
"279",16727.56063,"No","Extended","College","Unemployed","M",0,"Suburban","Single",76,33,36,2,2,"Personal Auto","Personal L3","Offer3","Branch",402.636829,"Two-Door Car","Medsize",5050.17053163513
"283",5569.456156,"No","Basic","High School or Below","Employed","M",53565,"Suburban","Married",71,27,34,1,6,"Personal Auto","Personal L3","Offer1","Agent",340.8,"Four-Door Car","Small",6277.01930728336
"285",8346.983233,"No","Premium","Bachelor","Employed","M",48259,"Rural","Single",108,14,79,0,3,"Personal Auto","Personal L2","Offer1","Branch",73.700573,"Two-Door Car","Medsize",7130.38375877417
"286",6323.923864,"No","Extended","High School or Below","Employed","F",78532,"Suburban","Married",78,25,87,0,3,"Personal Auto","Personal L3","Offer2","Call Center",374.4,"Four-Door Car","Medsize",5504.2936098287
"287",5973.14343,"No","Basic","Bachelor","Employed","F",96163,"Suburban","Married",73,23,90,0,3,"Corporate Auto","Corporate L3","Offer1","Call Center",350.4,"Four-Door Car","Medsize",5540.86855228272
"288",4706.676993,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",72,0,86,0,7,"Personal Auto","Personal L2","Offer1","Agent",345.6,"Four-Door Car","Medsize",6798.82673035277
"289",8093.410258,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Married",114,9,72,1,5,"Personal Auto","Personal L1","Offer1","Agent",722.024742,"Sports Car","Medsize",7904.00905069469
"290",5035.744643,"No","Basic","College","Employed","M",72672,"Urban","Married",63,7,39,0,5,"Personal Auto","Personal L2","Offer2","Call Center",259.361117,"Four-Door Car","Large",5474.75925617441
"292",7288.884849,"No","Extended","High School or Below","Employed","M",79494,"Urban","Married",91,19,30,0,3,"Personal Auto","Personal L2","Offer4","Agent",396.295614,"Four-Door Car","Large",6358.33351562118
"294",4992.063043,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",71,6,5,0,3,"Corporate Auto","Corporate L2","Offer3","Web",653.388564,"Four-Door Car","Small",5450.03911191178
"295",9102.267849,"No","Premium","High School or Below","Disabled","F",26049,"Rural","Married",118,17,6,0,6,"Personal Auto","Personal L2","Offer1","Call Center",121.032372,"Two-Door Car","Large",8562.06063432051
"299",5720.765064,"No","Basic","College","Employed","M",41770,"Suburban","Married",72,0,60,0,9,"Personal Auto","Personal L1","Offer2","Branch",476.156957,"Four-Door Car","Small",7186.86463609916
"300",7035.534088,"No","Premium","High School or Below","Unemployed","M",0,"Suburban","Divorced",101,16,88,0,8,"Corporate Auto","Corporate L3","Offer3","Web",727.2,"Four-Door Car","Medsize",8441.69684029528
"301",2636.97773,"No","Basic","College","Employed","M",31911,"Suburban","Married",67,33,27,0,1,"Personal Auto","Personal L3","Offer2","Agent",321.6,"Four-Door Car","Medsize",4353.04523866077
"303",8382.630118,"Yes","Basic","High School or Below","Retired","M",19683,"Suburban","Married",117,17,41,1,9,"Personal Auto","Personal L2","Offer1","Web",561.6,"Sports Car","Medsize",9343.62610950662
"305",2887.742258,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Single",80,24,95,0,1,"Personal Auto","Personal L1","Offer1","Call Center",676.944023,"Four-Door Car","Medsize",5207.08514445325
"306",8714.922135,"Yes","Basic","College","Unemployed","F",0,"Suburban","Divorced",118,14,64,0,4,"Corporate Auto","Corporate L3","Offer1","Agent",566.4,"SUV","Medsize",8526.5100265496
"308",10272.6082,"No","Extended","College","Employed","M",60145,"Urban","Single",132,8,28,0,3,"Personal Auto","Personal L3","Offer3","Web",580.473259,"SUV","Medsize",8836.4728845823
"309",4376.363592,"Yes","Premium","Bachelor","Employed","F",63774,"Rural","Divorced",111,18,63,0,1,"Personal Auto","Personal L3","Offer2","Agent",60.036683,"Four-Door Car","Medsize",6351.29292682146
"310",5318.89664,"Yes","Basic","Bachelor","Employed","F",25134,"Suburban","Married",67,3,0,0,6,"Corporate Auto","Corporate L2","Offer2","Call Center",321.6,"Four-Door Car","Small",5982.26136148017
"311",4719.762191,"No","Basic","Bachelor","Employed","M",37057,"Rural","Married",61,5,48,1,6,"Personal Auto","Personal L2","Offer1","Agent",47.53101,"Four-Door Car","Small",5822.87210542866
"312",4428.031583,"Yes","Basic","High School or Below","Employed","F",58577,"Urban","Married",110,6,62,0,1,"Personal Auto","Personal L3","Offer1","Agent",303.872752,"SUV","Medsize",7185.6625913742
"313",5879.176092,"No","Basic","High School or Below","Employed","M",85857,"Rural","Married",73,3,19,0,6,"Corporate Auto","Corporate L2","Offer4","Agent",100.620067,"Four-Door Car","Medsize",6518.39822597436
"314",9416.908485,"No","Basic","Doctor","Employed","F",70602,"Urban","Married",116,8,47,0,3,"Personal Auto","Personal L3","Offer3","Call Center",481.339891,"SUV","Small",8109.83736161478
"315",8288.155579,"No","Premium","Master","Employed","F",33816,"Suburban","Divorced",106,10,97,2,3,"Corporate Auto","Corporate L3","Offer1","Branch",508.8,"Four-Door Car","Medsize",6738.45536176311
"317",4719.450052,"No","Extended","College","Employed","F",89642,"Rural","Married",121,11,20,4,1,"Corporate Auto","Corporate L3","Offer3","Call Center",86.320022,"SUV","Medsize",7083.02660013414
"322",5332.462694,"Yes","Basic","Doctor","Employed","F",68931,"Urban","Married",66,32,30,0,7,"Personal Auto","Personal L1","Offer2","Branch",309.577946,"Four-Door Car","Medsize",6262.68986585858
"323",2315.094985,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",73,14,39,1,1,"Corporate Auto","Corporate L3","Offer1","Branch",350.4,"Four-Door Car","Medsize",4738.6326248349
"327",9764.945308,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",98,24,11,1,2,"Personal Auto","Personal L2","Offer2","Web",705.6,"Four-Door Car","Small",5936.19531065417
"330",11264.36334,"No","Extended","Bachelor","Employed","M",34923,"Suburban","Single",98,23,82,0,2,"Personal Auto","Personal L1","Offer1","Call Center",639.105556,"Two-Door Car","Medsize",6350.39333235559
"331",2168.523464,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",63,1,56,0,1,"Personal Auto","Personal L3","Offer2","Agent",453.6,"Four-Door Car","Medsize",4171.38635791889
"332",8610.667489,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Married",111,27,36,0,9,"Corporate Auto","Corporate L1","Offer3","Web",532.8,"SUV","Medsize",9837.82310807071
"333",2834.646235,"No","Basic","College","Employed","F",24506,"Suburban","Divorced",71,7,47,0,1,"Personal Auto","Personal L1","Offer1","Agent",511.2,"Two-Door Car","Medsize",4798.35266278402
"334",8930.139728,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Married",82,25,63,0,2,"Personal Auto","Personal L1","Offer4","Call Center",554.522969,"Four-Door Car","Medsize",5623.75780938807
"335",5536.386959,"No","Basic","College","Employed","F",52220,"Suburban","Married",70,17,42,1,5,"Personal Auto","Personal L2","Offer1","Call Center",336,"Four-Door Car","Small",5905.76136253401
"336",2840.85429,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Married",74,17,73,0,1,"Personal Auto","Personal L3","Offer1","Call Center",402.449823,"Two-Door Car","Medsize",4934.59682334043
"337",8082.880956,"No","Basic","College","Employed","M",53554,"Suburban","Married",67,6,5,0,2,"Personal Auto","Personal L2","Offer1","Agent",327.020539,"Four-Door Car","Large",4942.53700660602
"339",5116.237577,"No","Basic","Bachelor","Unemployed","F",0,"Rural","Married",70,1,11,0,5,"Personal Auto","Personal L2","Offer1","Web",131.401291,"Four-Door Car","Medsize",6056.31084085407
"340",3034.646997,"No","Extended","College","Employed","M",68205,"Rural","Married",76,35,14,0,1,"Personal Auto","Personal L1","Offer4","Branch",99.382943,"Two-Door Car","Medsize",5025.42626371137
"344",2150.178588,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",61,28,31,0,1,"Personal Auto","Personal L3","Offer2","Web",292.8,"Four-Door Car","Medsize",4080.55691754795
