"","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location.Code","Marital.Status","Monthly.Premium.Auto","Months.Since.Last.Claim","Months.Since.Policy.Inception","Number.of.Open.Complaints","Number.of.Policies","Policy.Type","Policy","Renew.Offer.Type","Sales.Channel","Total.Claim.Amount","Vehicle.Class","Vehicle.Size","pred","stu_res","stud.del.resids","leverage","cooks_dis","dffits","dfbetas.(Intercept)","dfbetas.I(Coverage == ""Premium"")TRUE","dfbetas.I(EmploymentStatus == ""Unemployed"")TRUE","dfbetas.Monthly.Premium.Auto","dfbetas.Number.of.Policies","dfbetas.I(Vehicle.Class == ""SUV"")TRUE","cov_ratio"
"266", 4812.525,"No","Basic","College","Medical Leave","M",16531,"Rural","Married", 63, 0,40,0,4,"Corporate Auto","Corporate L1","Offer1","Web", 102.879769,"Four-Door Car","Medsize", 5420.977,-0.2073482270,-0.2073482270,0.0009123490,6.545948e-06,-6.265836e-03,-3.751153e-03,-5.697727e-05, 2.535689e-03, 2.747373e-03,-1.588938e-03, 3.692366e-04,1.0032078
"268", 5773.521,"No","Basic","Bachelor","Employed","F",81676,"Suburban","Married", 72,21,86,0,8,"Personal Auto","Personal L2","Offer1","Agent", 463.158502,"Two-Door Car","Small", 7045.454,-0.4337743751,-0.4337743751,0.0023512203,7.393206e-05,-2.105822e-02,-9.895335e-05, 8.683518e-04, 5.879102e-03, 2.359151e-03,-1.757222e-02, 1.975266e-03,1.0043057
"269", 6847.119,"No","Extended","College","Employed","M",71038,"Rural","Married", 86,15,56,0,3,"Corporate Auto","Corporate L1","Offer4","Agent", 205.444066,"Four-Door Car","Medsize", 6047.923, 0.2723219219, 0.2723219219,0.0006947120,8.595693e-06, 7.180189e-03, 1.444637e-03,-2.151193e-03,-3.289709e-03, 1.254626e-03,-2.286713e-05,-2.899143e-03,1.0029145
"276", 5004.310,"No","Basic","Master","Disabled","M",25486,"Rural","Married", 65,15,53,0,3,"Special Auto","Special L3","Offer1","Web",  72.438681,"Two-Door Car","Medsize", 5188.740,-0.0628463972,-0.0628463972,0.0008142518,5.366542e-07,-1.794059e-03,-1.235070e-03, 3.947534e-05, 7.497824e-04, 7.459036e-04, 2.917936e-05, 1.695046e-04,1.0032031
"280", 3652.532,"No","Extended","High School or Below","Employed","F",39679,"Suburban","Married", 92, 2,85,0,1,"Personal Auto","Personal L3","Offer2","Branch", 641.388616,"Two-Door Car","Medsize", 5665.276,-0.6859996768,-0.6859996768,0.0010257311,8.055036e-05,-2.198181e-02,-4.845612e-03, 7.133967e-03, 7.889153e-03,-6.132118e-03, 1.118426e-02, 9.081308e-03,1.0022955
"281", 6158.601,"No","Extended","College","Unemployed","M",    0,"Urban","Single", 89,13,45,0,5,"Personal Auto","Personal L2","Offer1","Web", 342.481173,"Four-Door Car","Medsize", 6393.766,-0.0801775731,-0.0801775731,0.0018766640,2.015250e-06,-3.476595e-03, 7.322351e-04, 6.520456e-04,-2.602011e-03,-5.555531e-04,-1.168662e-03, 9.121538e-04,1.0042649
"282", 4376.084,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Married", 69,21,70,4,3,"Personal Auto","Personal L2","Offer4","Web", 331.200000,"Two-Door Car","Medsize", 4947.369,-0.1947598273,-0.1947598273,0.0017083741,1.082280e-05,-8.056792e-03,-2.024998e-03, 3.163093e-04,-6.469733e-03, 1.781494e-03, 4.131925e-04, 8.024508e-04,1.0040199
"284", 2576.513,"No","Basic","Bachelor","Employed","M",37574,"Suburban","Married", 66,19,14,1,1,"Personal Auto","Personal L1","Offer1","Agent", 412.101933,"Two-Door Car","Medsize", 4601.526,-0.6902000721,-0.6902000721,0.0010771551,8.563193e-05,-2.266460e-02,-1.713700e-02, 9.630235e-04, 7.809000e-03, 7.911403e-03, 1.157807e-02, 2.343120e-03,1.0023333
"291", 9027.867,"No","Premium","Bachelor","Employed","F",99002,"Suburban","Married",112,33,75,1,8,"Personal Auto","Personal L1","Offer3","Branch", 537.600000,"Four-Door Car","Medsize", 9443.199,-0.1419509481,-0.1419509481,0.0067428512,2.280746e-05,-1.169578e-02, 5.724768e-04,-9.007536e-03, 1.871752e-03, 1.277172e-03,-6.156532e-03, 1.078628e-04,1.0091519
"296", 2540.408,"No","Basic","Doctor","Employed","M",70125,"Rural","Single", 64,21,77,0,1,"Special Auto","Special L2","Offer2","Branch",  92.813396,"Four-Door Car","Medsize", 4519.699,-0.6746265391,-0.6746265391,0.0011155541,8.473159e-05,-2.254505e-02,-1.767258e-02, 4.740278e-04, 7.623272e-03, 8.791791e-03, 1.134148e-02, 1.779459e-03,1.0024228
"297",12941.892,"No","Basic","College","Employed","M",52369,"Suburban","Married",110,34,49,1,2,"Personal Auto","Personal L3","Offer1","Agent", 528.000000,"SUV","Medsize", 7516.607, 1.8514714282, 1.8514714282,0.0024186004,1.383816e-03, 9.116432e-02, 1.705414e-02,-4.249755e-03,-2.190017e-02,-9.696906e-03,-1.234111e-02, 7.252539e-02,0.9966216
"298", 2365.349,"No","Basic","Bachelor","Unemployed","F",    0,"Rural","Married", 66,25,51,2,1,"Special Auto","Special L2","Offer2","Branch", 159.636956,"Four-Door Car","Medsize", 4196.501,-0.6244322973,-0.6244322973,0.0020942149,1.364133e-04,-2.860561e-02,-1.143387e-02, 6.281084e-04,-2.115097e-02, 7.419035e-03, 1.156033e-02, 2.062845e-03,1.0035625
"302", 5395.832,"No","Basic","Bachelor","Employed","M",70051,"Rural","Married", 68,15,69,0,8,"Corporate Auto","Corporate L3","Offer4","Web",  42.078345,"Four-Door Car","Medsize", 6881.801,-0.5067859492,-0.5067859492,0.0023951435,1.028015e-04,-2.483196e-02,-1.501633e-03, 3.120253e-04, 6.854262e-03, 4.348004e-03,-2.049363e-02, 1.539807e-03,1.0041849
"318", 3903.475,"No","Extended","Bachelor","Employed","F",60068,"Suburban","Married", 98,17,75,0,1,"Personal Auto","Personal L3","Offer2","Agent", 470.400000,"Two-Door Car","Small", 5910.756,-0.6841742357,-0.6841742357,0.0011319552,8.842915e-05,-2.303177e-02,-2.028003e-03, 8.537067e-03, 7.898012e-03,-9.337357e-03, 1.108074e-02, 1.061183e-02,1.0024081
"319", 5457.260,"No","Extended","Bachelor","Employed","F",50044,"Suburban","Single",139,16,14,0,1,"Personal Auto","Personal L2","Offer3","Call Center", 667.200000,"SUV","Medsize", 8389.033,-1.0002578746,-1.0002578746,0.0028645863,4.790495e-04,-5.361248e-02, 7.690270e-03, 1.256198e-02, 1.172951e-02,-1.735335e-02, 1.431667e-02,-2.803902e-02,1.0028716
"320", 2725.356,"Yes","Basic","Master","Employed","F",36650,"Rural","Married", 69, 2,70,1,1,"Personal Auto","Personal L3","Offer2","Web",  56.603330,"Four-Door Car","Large", 4724.266,-0.6812850250,-0.6812850250,0.0010287826,7.968377e-05,-2.186322e-02,-1.551875e-02, 1.658375e-03, 7.722601e-03, 6.205294e-03, 1.139123e-02, 3.086581e-03,1.0023141
"321", 4433.974,"No","Basic","College","Employed","F",50653,"Rural","Married",110,29,42,0,1,"Corporate Auto","Corporate L3","Offer4","Agent", 262.865172,"SUV","Small", 7202.543,-0.9444274825,-0.9444274825,0.0025938351,3.866117e-04,-4.816192e-02,-1.146812e-02, 2.366808e-03, 1.087679e-02, 5.124905e-03, 1.401220e-02,-3.684749e-02,1.0028598
"324", 5411.954,"No","Basic","College","Unemployed","F",    0,"Suburban","Single", 73, 1,22,0,5,"Personal Auto","Personal L2","Offer2","Call Center", 365.364581,"Four-Door Car","Medsize", 5739.151,-0.1115544392,-0.1115544392,0.0018603897,3.867285e-06,-4.816074e-03,-2.012637e-04, 2.888294e-04,-3.633060e-03, 6.281424e-04,-1.593653e-03, 5.930928e-04,1.0042341
"325", 9587.332,"No","Extended","Bachelor","Employed","M",39266,"Suburban","Married", 80,33,31,0,2,"Personal Auto","Personal L2","Offer4","Branch", 384.000000,"Four-Door Car","Medsize", 5488.378, 1.3972544474, 1.3972544474,0.0007432384,2.419279e-04, 3.810667e-02, 1.723134e-02,-8.428796e-03,-1.638287e-02,-4.030545e-04,-1.167493e-02,-1.192475e-02,0.9984668
"328", 2567.151,"No","Basic","Bachelor","Employed","F",40864,"Rural","Married", 65, 2,75,0,1,"Corporate Auto","Corporate L1","Offer2","Web",   9.515280,"Four-Door Car","Medsize", 4560.612,-0.6794503251,-0.6794503251,0.0010957395,8.441913e-05,-2.250347e-02,-1.733451e-02, 7.127230e-04, 7.682576e-03, 8.321412e-03, 1.141016e-02, 2.049406e-03,1.0023872
"329", 2650.623,"No","Basic","College","Employed","F",39035,"Urban","Divorced", 68,15,65,0,1,"Personal Auto","Personal L2","Offer2","Agent", 244.564334,"Four-Door Car","Medsize", 4683.353,-0.6928192503,-0.6928192503,0.0010436766,8.359844e-05,-2.239390e-02,-1.625498e-02, 1.446530e-03, 7.848437e-03, 6.854029e-03, 1.159672e-02, 2.876564e-03,1.0022910
"338", 5254.734,"No","Basic","Bachelor","Employed","M",34476,"Rural","Married", 67,23,49,1,3,"Corporate Auto","Corporate L2","Offer4","Call Center",   5.395300,"Four-Door Car","Medsize", 5270.567,-0.0053951447,-0.0053951447,0.0007794948,3.785995e-09,-1.506881e-04,-9.865289e-05, 7.125115e-06, 6.444245e-05, 5.556646e-05, 2.309489e-06, 1.863571e-05,1.0031776
"341", 8024.900,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Single",119, 6,48,1,8,"Personal Auto","Personal L1","Offer3","Branch", 856.800000,"SUV","Medsize", 9364.187,-0.4573427499,-0.4573427499,0.0049520086,1.735428e-04,-3.226343e-02, 9.643374e-03, 1.722278e-03,-1.439262e-02,-1.166779e-03,-1.867712e-02,-1.685714e-02,1.0068801
"343", 5121.563,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Single", 72, 2,22,0,5,"Personal Auto","Personal L3","Offer1","Branch", 518.400000,"Four-Door Car","Medsize", 5698.237,-0.1966129448,-0.1966129448,0.0018698285,1.207408e-05,-8.509801e-03,-4.891207e-04, 4.409414e-04,-6.404652e-03, 1.261436e-03,-2.805240e-03, 9.708548e-04,1.0041806
"346", 7562.824,"No","Basic","Bachelor","Unemployed","F",    0,"Suburban","Single", 73,23,91,0,2,"Personal Auto","Personal L1","Offer2","Branch", 350.400000,"Four-Door Car","Large", 4796.959, 0.9431107352, 0.9431107352,0.0017608715,2.615088e-04, 3.961040e-02, 9.990748e-03,-3.037148e-03, 3.159783e-02,-5.843613e-03,-9.635080e-03,-5.465010e-03,1.0020289
"347", 5385.853,"No","Basic","High School or Below","Medical Leave","M",29664,"Suburban","Married", 71, 1,69,0,3,"Personal Auto","Personal L1","Offer1","Agent", 340.800000,"Four-Door Car","Medsize", 5434.221,-0.0164810935,-0.0164810935,0.0007247423,3.284675e-08,-4.438490e-04,-2.563198e-04, 4.459222e-05, 1.973260e-04, 1.180195e-04, 5.860965e-06, 8.188131e-05,1.0031220
"350", 3605.860,"No","Extended","College","Employed","F",21585,"Suburban","Married", 92,35,61,0,1,"Corporate Auto","Corporate L2","Offer4","Agent", 441.600000,"Four-Door Car","Medsize", 5665.276,-0.7019099603,-0.7019099603,0.0010257311,8.432933e-05,-2.249163e-02,-4.957996e-03, 7.299424e-03, 8.072125e-03,-6.274339e-03, 1.144366e-02, 9.291930e-03,1.0022426
"354", 5123.171,"No","Basic","Master","Employed","F",89879,"Rural","Married", 63,17,20,0,3,"Personal Auto","Personal L3","Offer2","Web",  94.030308,"Two-Door Car","Medsize", 5106.913, 0.0055400103, 0.0055400103,0.0008539292,4.373569e-09, 1.619597e-04, 1.164454e-04, 3.569376e-07,-6.601640e-05,-7.444719e-05,-2.772927e-06,-1.074799e-05,1.0032523
"357", 4363.125,"No","Basic","Master","Employed","F",54514,"Urban","Divorced",109, 5,36,3,1,"Personal Auto","Personal L2","Offer2","Branch", 286.234931,"SUV","Medsize", 7161.630,-0.9546473062,-0.9546473062,0.0026029506,3.964130e-04,-4.876878e-02,-1.224506e-02, 2.061563e-03, 1.098769e-02, 5.930051e-03, 1.418120e-02,-3.760810e-02,1.0028224
"360", 5509.896,"No","Basic","Doctor","Employed","M",78879,"Suburban","Married", 69, 9,67,1,4,"Personal Auto","Personal L3","Offer4","Call Center", 466.570791,"Four-Door Car","Small", 5666.458,-0.0533501644,-0.0533501644,0.0008098507,3.846359e-07,-1.518848e-03,-7.464232e-04, 9.618368e-05, 6.546874e-04, 4.557128e-04,-4.146058e-04, 2.161723e-04,1.0032013
"361",16313.683,"No","Basic","College","Unemployed","M",    0,"Suburban","Single", 69,21,86,0,2,"Personal Auto","Personal L1","Offer3","Call Center", 331.200000,"Four-Door Car","Medsize", 4633.305, 3.9948462362, 3.9948462362,0.0018095529,4.793184e-03, 1.700901e-01, 5.324243e-02,-7.329087e-03, 1.339605e-01,-3.729638e-02,-4.110299e-02,-1.709736e-02,0.9666980
"364", 2453.571,"Yes","Basic","Bachelor","Medical Leave","M",29735,"Suburban","Single", 69, 3,92,0,1,"Personal Auto","Personal L2","Offer1","Agent", 331.200000,"Four-Door Car","Medsize", 4724.266,-0.7739380614,-0.7739380614,0.0010287826,1.028256e-04,-2.483656e-02,-1.762926e-02, 1.883910e-03, 8.772856e-03, 7.049198e-03, 1.294040e-02, 3.506348e-03,1.0019907
"367",12275.343,"No","Premium","College","Employed","F",52135,"Urban","Single",156, 6,86,0,9,"Personal Auto","Personal L3","Offer2","Call Center", 430.505942,"SUV","Small",12358.281,-0.0283861783,-0.0283861783,0.0095461919,1.294886e-06,-2.786794e-03, 5.600415e-04,-1.778186e-03, 3.892647e-04, 7.819937e-05,-1.521192e-03,-1.191108e-03,1.0120550
"375", 5960.581,"No","Basic","Master","Employed","F",47945,"Rural","Married", 74,32,39,0,3,"Personal Auto","Personal L3","Offer2","Branch", 128.438230,"Two-Door Car","Medsize", 5556.961, 0.1375300285, 0.1375300285,0.0006965941,2.198347e-06, 3.631105e-03, 1.857025e-03,-5.149657e-04,-1.649564e-03,-6.611358e-04,-4.143562e-05,-8.394429e-04,1.0030490
"381", 3589.711,"No","Extended","College","Employed","M",79298,"Urban","Married", 90,22, 2,0,1,"Personal Auto","Personal L1","Offer2","Call Center", 244.362072,"Four-Door Car","Medsize", 5583.449,-0.6795122766,-0.6795122766,0.0010001640,7.706238e-05,-2.150058e-02,-5.728285e-03, 6.595771e-03, 7.804703e-03,-5.007692e-03, 1.110297e-02, 8.480808e-03,1.0022911
"385", 4685.504,"No","Premium","Doctor","Employed","M",77678,"Suburban","Married",116,32,81,0,1,"Personal Auto","Personal L2","Offer1","Call Center", 741.418485,"Two-Door Car","Small", 7408.405,-0.9299721710,-0.9299721710,0.0050128942,7.262450e-04,-6.600936e-02,-1.280940e-02,-5.629728e-02, 1.024017e-02, 6.664511e-03, 1.288725e-02, 3.156750e-03,1.0053632
"391", 5553.296,"No","Basic","Master","Employed","M",68197,"Urban","Married", 69, 1,81,0,3,"Personal Auto","Personal L1","Offer2","Branch", 176.819414,"Four-Door Car","Medsize", 5352.394, 0.0684571231, 0.0684571231,0.0007496583,5.862023e-07, 1.875051e-03, 1.158218e-03,-1.378153e-04,-8.186572e-04,-5.976369e-04,-2.682436e-05,-2.882856e-04,1.0031365
"394", 2199.618,"No","Basic","Bachelor","Unemployed","M",    0,"Suburban","Single", 65, 5,19,1,1,"Personal Auto","Personal L2","Offer1","Agent", 468.000000,"Two-Door Car","Medsize", 4155.587,-0.6670093935,-0.6670093935,0.0021134463,1.570793e-04,-3.069637e-02,-1.266960e-02, 4.398230e-04,-2.259816e-02, 8.448640e-03, 1.236078e-02, 1.950862e-03,1.0034498
"397", 2613.023,"No","Basic","Bachelor","Employed","M",57099,"Rural","Single", 67,20,37,0,1,"Personal Auto","Personal L2","Offer3","Agent",  67.859881,"Two-Door Car","Small", 4642.439,-0.6916951675,-0.6916951675,0.0010598008,8.461616e-05,-2.252979e-02,-1.670136e-02, 1.204648e-03, 7.830807e-03, 7.385717e-03, 1.159052e-02, 2.610047e-03,1.0023109
"407", 4731.367,"No","Basic","High School or Below","Employed","M",30686,"Rural","Single", 61,22,45,0,3,"Corporate Auto","Corporate L3","Offer2","Web",  19.938981,"Four-Door Car","Medsize", 5025.087,-0.1000923385,-0.1000923385,0.0008985271,1.502254e-06,-3.001661e-03,-2.240657e-03,-7.577107e-05, 1.191321e-03, 1.502147e-03, 5.372567e-05, 1.184073e-04,1.0032731
"413", 5595.835,"No","Basic","Master","Employed","F",79189,"Suburban","Married", 69, 6,97,0,4,"Corporate Auto","Corporate L2","Offer4","Branch", 331.200000,"Four-Door Car","Medsize", 5666.458,-0.0240654845,-0.0240654845,0.0008098507,7.826506e-08,-6.851301e-04,-3.367006e-04, 4.338706e-05, 2.953200e-04, 2.055654e-04,-1.870227e-04, 9.751220e-05,1.0032067
"414", 2294.304,"No","Basic","High School or Below","Unemployed","F",    0,"Suburban","Divorced", 62, 5,31,0,1,"Personal Auto","Personal L3","Offer3","Branch", 297.600000,"Two-Door Car","Medsize", 4032.847,-0.5928727067,-0.5928727067,0.0021785213,1.279361e-04,-2.770231e-02,-1.247773e-02,-2.253633e-04,-2.009983e-02, 8.906251e-03, 1.101950e-02, 1.060331e-03,1.0037395
"417", 5285.119,"No","Basic","Bachelor","Employed","M",40783,"Suburban","Married", 67,13,43,1,9,"Personal Auto","Personal L1","Offer1","Call Center", 321.600000,"Four-Door Car","Medsize", 7154.951,-0.6379573556,-0.6379573556,0.0031346496,2.133474e-04,-3.577403e-02,-4.569975e-04, 3.741639e-05, 8.826547e-03, 5.856183e-03,-3.100987e-02, 1.595512e-03,1.0045688
"419", 7126.597,"No","Basic","College","Medical Leave","M",17483,"Suburban","Married",183,24,63,0,1,"Personal Auto","Personal L1","Offer2","Web",1317.600000,"Luxury Car","Large", 9388.400,-0.7733751439,-0.7733751439,0.0073942719,7.427068e-04,-6.674973e-02, 4.275977e-02, 3.251893e-02, 9.428668e-03,-6.233423e-02, 1.137040e-02, 3.700012e-02,1.0084185
"421", 9155.240,"No","Extended","College","Unemployed","M",    0,"Suburban","Married",127, 3,93,0,3,"Personal Auto","Personal L2","Offer2","Agent", 804.811859,"Sports Car","Medsize", 7320.349, 0.6259745246, 0.6259745246,0.0029459921,1.930102e-04, 3.402617e-02,-1.831820e-02,-1.360278e-02, 2.054662e-02, 2.278624e-02,-6.706277e-04,-1.633922e-02,1.0044152
"423", 8901.678,"No","Extended","High School or Below","Unemployed","M",    0,"Suburban","Single",136,14,69,1,8,"Personal Auto","Personal L3","Offer1","Agent",1090.864340,"Sports Car","Small", 9258.890,-0.1219858599,-0.1219858599,0.0050995411,1.271715e-05,-8.733438e-03, 6.115213e-03, 2.906101e-03,-3.809439e-03,-5.423634e-03,-4.878831e-03, 3.506611e-03,1.0074978
"429", 4772.944,"Yes","Extended","High School or Below","Retired","M",20993,"Suburban","Divorced",133,35,90,0,1,"Corporate Auto","Corporate L3","Offer2","Agent", 638.400000,"SUV","Medsize", 8143.553,-1.1499714894,-1.1499714894,0.0027236908,6.018792e-04,-6.009775e-02, 4.122282e-03, 1.204964e-02, 1.343466e-02,-1.453069e-02, 1.658344e-02,-3.484791e-02,1.0019580
"431", 4031.105,"No","Basic","College","Unemployed","M",    0,"Suburban","Married", 63,35,59,3,3,"Personal Auto","Personal L2","Offer2","Call Center", 639.458990,"Two-Door Car","Large", 4701.888,-0.2286933615,-0.2286933615,0.0018165270,1.586907e-05,-9.755944e-03,-3.315864e-03,-1.039437e-04,-7.607225e-03, 3.169106e-03, 5.100734e-04, 4.226247e-04,1.0040942
"432", 2794.907,"No","Basic","College","Employed","F",39783,"Suburban","Single", 72,28,43,0,1,"Personal Auto","Personal L1","Offer1","Branch", 345.600000,"Two-Door Car","Medsize", 4847.007,-0.6994038718,-0.6994038718,0.0009914811,8.092981e-05,-2.203361e-02,-1.449757e-02, 2.429073e-03, 7.942880e-03, 4.723853e-03, 1.165596e-02, 3.962955e-03,1.0022166
"439", 9028.821,"No","Basic","High School or Below","Employed","M",65974,"Rural","Married",113, 3,43,0,3,"Personal Auto","Personal L3","Offer3","Agent", 235.220971,"Sports Car","Medsize", 7152.586, 0.6395661063, 0.6395661063,0.0013381334,9.136985e-05, 2.341132e-02,-8.406695e-03,-1.103501e-02,-7.852413e-03, 1.649936e-02, 2.590970e-04,-1.334963e-02,1.0027568
"440", 5303.760,"No","Extended","College","Unemployed","F",    0,"Suburban","Single", 76,18,63,0,3,"Personal Auto","Personal L3","Offer2","Agent", 395.341110,"Four-Door Car","Large", 5233.763, 0.0238618084, 0.0238618084,0.0016381661,1.557753e-07, 9.665812e-04, 1.339301e-04,-9.661585e-05, 7.914403e-04,-8.715557e-05,-4.759592e-05,-1.615682e-04,1.0040391
"442", 5123.768,"No","Basic","High School or Below","Unemployed","M",    0,"Suburban","Single", 74, 1,62,0,7,"Personal Auto","Personal L1","Offer1","Agent", 772.798511,"Two-Door Car","Medsize", 6408.192,-0.4380856938,-0.4380856938,0.0025849658,8.292505e-05,-2.230224e-02, 2.076934e-03, 1.102042e-03,-1.399542e-02, 1.958411e-03,-1.342743e-02, 2.356216e-03,1.0045321
"446", 4815.010,"No","Basic","Bachelor","Disabled","F",25398,"Suburban","Divorced", 64,30,80,0,6,"Corporate Auto","Corporate L3","Offer2","Agent", 307.200000,"Four-Door Car","Medsize", 6090.019,-0.4346180869,-0.4346180869,0.0014091302,4.443942e-05,-1.632637e-02,-5.021435e-03,-1.518133e-04, 5.591132e-03, 5.255206e-03,-1.043717e-02, 8.001517e-04,1.0033565
"451", 3803.922,"No","Basic","Bachelor","Medical Leave","F",20325,"Suburban","Married",100, 4, 6,0,1,"Personal Auto","Personal L3","Offer1","Branch", 668.293970,"Sports Car","Medsize", 5992.583,-0.7460269416,-0.7460269416,0.0011772042,1.093447e-04,-2.561157e-02,-1.191853e-03, 9.825827e-03, 8.622924e-03,-1.135257e-02, 1.205574e-02, 1.213637e-02,1.0022414
"456", 2756.942,"No","Basic","Bachelor","Medical Leave","M",29926,"Suburban","Divorced", 74,25,34,0,1,"Corporate Auto","Corporate L1","Offer1","Branch", 418.233667,"Four-Door Car","Medsize", 4928.833,-0.7402338060,-0.7402338060,0.0009727640,8.893957e-05,-2.309851e-02,-1.433225e-02, 3.083545e-03, 8.417106e-03, 3.837944e-03, 1.230948e-02, 4.754740e-03,1.0020569
"464", 8042.804,"No","Basic","Doctor","Employed","M",55411,"Urban","Married",100,24,53,0,4,"Personal Auto","Personal L2","Offer2","Web", 259.561195,"Sports Car","Medsize", 6934.775, 0.3776151576, 0.3776151576,0.0009857484,2.345797e-05, 1.186169e-02,-2.714470e-03,-4.734732e-03,-4.718245e-03, 5.959247e-03, 3.146880e-03,-5.961913e-03,1.0030424
"470",10357.514,"No","Extended","College","Employed","M",68309,"Rural","Divorced",131, 4,67,0,9,"Corporate Auto","Corporate L3","Offer1","Web", 306.983596,"SUV","Small",10574.238,-0.0740083584,-0.0740083584,0.0050630747,4.647307e-06,-5.279468e-03, 1.901766e-03, 6.002159e-04, 1.049961e-03,-9.316712e-04,-3.772320e-03,-2.396035e-03,1.0074835
"471", 2537.814,"No","Basic","High School or Below","Employed","M",56621,"Rural","Married", 65,27,36,2,1,"Personal Auto","Personal L2","Offer2","Branch",  84.026848,"Four-Door Car","Medsize", 4560.612,-0.6894516185,-0.6894516185,0.0010957395,8.692219e-05,-2.283471e-02,-1.758967e-02, 7.232140e-04, 7.795661e-03, 8.443901e-03, 1.157811e-02, 2.079573e-03,1.0023544
